fid,name,ref,attendgru,function
19466669,addParentEventNamePropertyDescriptor,this adds a property descriptor for the parent event name feature,this adds a property descriptor for the parent event name feature,"

 protected void addParentEventNamePropertyDescriptor(Object object) {
		itemPropertyDescriptors.add
			(createItemPropertyDescriptor
				(((ComposeableAdapterFactory)adapterFactory).getRootAdapterFactory(),
				 getResourceLocator(),
				 getString(""""_UI_Command_ParentEventName_feature""""),
				 getString(""""_UI_PropertyDescriptor_description"""", """"_UI_Command_ParentEventName_feature"""", """"_UI_Command_type""""),
				 Il1Package.Literals.COMMAND__PARENT_EVENT_NAME,
				 true,
				 false,
				 false,
				 ItemPropertyDescriptor.GENERIC_VALUE_IMAGE,
				 null,
				 null));
	} 
"
19475841,addFixedPropertyDescriptor,this adds a property descriptor for the fixed feature,this adds a property descriptor for the fixed feature,"

 protected void addFixedPropertyDescriptor(Object object) {
		itemPropertyDescriptors.add
			(createItemPropertyDescriptor
				(((ComposeableAdapterFactory)adapterFactory).getRootAdapterFactory(),
				 getResourceLocator(),
				 getString(""""_UI_UMLBClass_fixed_feature""""),
				 getString(""""_UI_PropertyDescriptor_description"""", """"_UI_UMLBClass_fixed_feature"""", """"_UI_UMLBClass_type""""),
				 UMLBPackage.Literals.UMLB_CLASS__FIXED,
				 true,
				 false,
				 false,
				 ItemPropertyDescriptor.BOOLEAN_VALUE_IMAGE,
				 null,
				 null));
	} 
"
19498280,test_10_bug2689872,an invalid character in a predicate is ignored but reported as a warning,test the creation of a generic element,"

 public void test_10_bug2689872() throws Exception {
		E con = getGeneric().createElement(""""elt"""");

		getGeneric().addPredicates(con, makeSList(""""A1""""), makeSList(""""0/=1""""), false);
	
		getGeneric().save(con);
		
		runBuilder();
		
		SCE file = getGeneric().getSCElement(con);
		
		getGeneric().containsPredicates(file, emptyEnv, makeSList(), makeSList());
		
		hasMarker(getGeneric().getPredicates(con)[0],
				EventBAttributes.PREDICATE_ATTRIBUTE,
				ParseProblem.LexerError,
				""""/""""
				);
	} 
"
19498298,testOccThm,all other tests only check for occurrences in axioms,test <UNK> <UNK> <UNK> <UNK> <UNK>,"

 public void testOccThm() throws Exception {

		final IContextRoot context =
				ResourceUtils.createContext(rodinProject, CTX_BARE_NAME, CST_1DECL_1REF_THM);

		final IConstant cst1 = context.getConstant(INTERNAL_ELEMENT1);
		final IDeclaration declCst1 = newDecl(cst1, CST1);
		
		final IAxiom thm = context.getAxiom(INTERNAL_ELEMENT1);
		final IOccurrence occRef = makeRefPred(thm, 9, 13, declCst1);


		final BridgeStub tk = new BridgeStub(context);

		final ContextIndexer indexer = new ContextIndexer();

		assertTrue(indexer.index(tk));

		tk.assertOccurrencesOtherThanDecl(cst1, occRef);
	} 
"
19505695,getRodinDBStatus,returns the rodin database status object for this exception,returns the <UNK> status status,"

 public IRodinDBStatus getRodinDBStatus() {
		IStatus status = this.getStatus();
		if (status instanceof IRodinDBStatus) {
			return (IRodinDBStatus) status;
		} else {
			// A regular IStatus is created only in the case of a CoreException.
			// See bug 13492 Should handle RodinDBExceptions that contains
			// CoreException more gracefully
			return new RodinDBStatus(this.nestedCoreException);
		}
	} 
"
19507414,testMoveRFWithNullContainer,ensures that a rodin file cannot be moved to a null container,test the move method,"

 public void testMoveRFWithNullContainer() throws CoreException {
		IRodinFile rfSource = createRodinFile(""""/P/X.test"""");
		try {
			rfSource.move(null, null, null, false, null);
		} catch (IllegalArgumentException iae) {
			return;
		}
		assertTrue(""""Should not be able to move a rf to a null container"""", false);
	} 
"
19507735,testOneTwoThreeCreateCycle,ensures cycles are ignored,test the <UNK>,"

 public void testOneTwoThreeCreateCycle() throws Exception {
		IRodinFile ctx = createRodinFile(""""P/x.ctx"""");
		createDependency(ctx, """"y"""");
		createData(ctx, """"one"""");
		ctx.save(null, true);
		runBuilder();
		
		IRodinFile cty = createRodinFile(""""P/y.ctx"""");
		createDependency(cty, """"x"""");
		createData(cty, """"two"""");
		cty.save(null, true);		
		
		IRodinFile ctz = createRodinFile(""""P/z.ctx"""");
		createData(ctz, """"three"""");
		ctz.save(null, true);
	
		runBuilder(
				""""CSC extract /P/x.ctx"""",
				""""CSC run /P/x.csc"""",
				""""CSC extract /P/y.ctx"""",
				""""CSC extract /P/z.ctx"""",
				""""CSC run /P/z.csc""""
		);
	} 
"
23010239,addAssignementPropertyDescriptor,this adds a property descriptor for the assignement feature,this adds a property descriptor for the <UNK> feature,"

 protected void addAssignementPropertyDescriptor(Object object) {
		itemPropertyDescriptors.add
			(createItemPropertyDescriptor
				(((ComposeableAdapterFactory)adapterFactory).getRootAdapterFactory(),
				 getResourceLocator(),
				 getString(""""_UI_AbstractEdge_Assignement_feature""""),
				 getString(""""_UI_PropertyDescriptor_description"""", """"_UI_AbstractEdge_Assignement_feature"""", """"_UI_AbstractEdge_type""""),
				 TaEditorPackage.Literals.ABSTRACT_EDGE__ASSIGNEMENT,
				 true,
				 false,
				 false,
				 ItemPropertyDescriptor.GENERIC_VALUE_IMAGE,
				 null,
				 null));
	} 
"
47479282,getAllSourceRoots,returns all of the source roots specified in the source bundle providing,returns all the source roots of the given plugin,"

 public Set getAllSourceRoots(String pluginName, Version pluginVersion) {
		Set pluginSourceRoots = new HashSet();
		ManifestElement[] manifestElements = getSourceEntries(pluginName, pluginVersion);
		if (manifestElements != null) {
			for (int j = 0; j < manifestElements.length; j++) {
				ManifestElement currentElement = manifestElements[j];
				addSourceRoots(currentElement.getDirective(""""roots""""), pluginSourceRoots); //$NON-NLS-1$
			}
		}
		return pluginSourceRoots;
	} 
"
18354735,invalidateSession,removes the mapping between the designated sm2 client identifier and,invalidate session with given id,"

  public void invalidateSession(String uid, String sid) {
      cat.debug(""""==> invalidateSession(""""+String.valueOf(uid)+"""", """"+String.valueOf(sid)+"""")"""");

      synchronized (lock) {
         uid2sid.remove(uid);
         sid2ssc.remove(sid);
         sid2ttl.remove(sid);
      }

      cat.debug(""""<== invalidateSession()"""");
   } 
"
43419611,saveCRCReply,here the local container description will be stored on disk,save the <UNK> service,"

 private void saveCRCReply(ClientRemoteContainerReply crcReply) {
		
		LoadService.currentlyWritingFile = true;
		String mySavingPath = LoadService.SERVICE_NODE_DESCRIPTION_FILE;
		try {
			ObjectOutputStream out = new ObjectOutputStream(new FileOutputStream(mySavingPath));
			out.writeObject(crcReply);
			out.flush();
			out.close();
			
		} catch (FileNotFoundException e1) {
			e1.printStackTrace();
		} catch (IOException e1) {
			e1.printStackTrace();
		}
		LoadService.currentlyWritingFile = false;
	} 
"
11759898,markStart,marks the start of the interval,mark the start of the timer,"

 public void markStart(Object tag) {
		synchronized (pair2startTimeMap) {
			pair2startTimeMap.put(tag, clock.getCurrentTime());
			// FIXME it probably makes more sense to run the garbage collection
			// periodically instead of allocating the timer every time
			Timer removalTimer = clock.createNewTimer();
			removalTimer.addTimerListener(new GarbageCollectionTimerListener(tag));
			removalTimer.schedule(Time.inMilliseconds(maxWait));
		}
	} 
"
3456415,testLogin,check that the user login and password are set on session,test the login session manager,"

 public void testLogin() {
    	
		SessionManager manager = new SimpleSessionManager();
		String sessionId = manager.createSession( null, null);
		
		Session session = manager.getSession( sessionId );
		
		manager.login(session, """"user"""", """"password"""");
		
		assertEquals(""""user"""", session.getUserId());
		assertEquals(""""password"""", session.getUserPassword());
		assertTrue( session.isLoggedIn() );
    } 
"
3457090,createNewServerProcess,create a new socket process for a new connection,creates a new server process,"

 protected void createNewServerProcess( Socket socket ){
		logger.info( """"Received connection on port """" + getPort() + """" from ["""" + socket.getInetAddress() + """":""""+ socket.getPort() + """"]."""");
		
		Thread t = new Thread( getNewServerProcess(socket) );
		t.start();
		getServerProcesses().add( t );
		new Thread( new Monitor( t ) ).start();
	} 
"
11950130,testGetCodigo,test of get codigo method of class proyectoventadepasajes,test of get codigo method of class com,"

 public void testGetCodigo() {
        System.out.println(""""getCodigo"""");
        
        Cronograma instance = null;
        
        String expResult = """""""";
        String result = instance.getCodigo();
        assertEquals(expResult, result);
        
        // TODO review the generated test code and remove the default call to fail.
        fail(""""The test case is a prototype."""");
    } 
"
1046788,testAddCountryWithSequenceGenerator,flow 2 positive case hibernate sequence generator,test of add country method of class <UNK>,"

 public void testAddCountryWithSequenceGenerator() throws Exception {
		CountryWithSequence country1 = new CountryWithSequence();
		country1.setCountryId(""""KR"""");
		country1.setCountryName(""""Korea"""");

		Integer countryCode = (Integer) session.save(country1);
		assertEquals(""""fail to generate a new countryCode."""", 0, countryCode
				.intValue());
		assertNotNull(""""fail to add a new country with sequence generator."""",
				countryCode);
	} 
"
26285656,testValidateSeparationCount,test validate separation count,test that the separation count works properly,"

 public void testValidateSeparationCount() {
        try {
            LinearDimension.validateSeparationCount(0);
            fail();
        } catch (IllegalArgumentException ex) {
            // ok
        }

        try {
            LinearDimension.validateSeparationCount(-2);
            fail();
        } catch (IllegalArgumentException ex) {
            // ok
        }

        LinearDimension.validateSeparationCount(1);
        LinearDimension.validateSeparationCount(2988);
    } 
"
20687719,getConnectionPanel,this method initializes connection panel,this method initializes connection panel,"

 private JPanel getConnectionPanel() {
		if (connectionPanel == null) {
			connectionRoomLabel = new JLabel();
			connectionRoomLabel.setText(""""Playground"""");
			connectionPanel = new JPanel();
			connectionPanel.setLayout(new BoxLayout(getConnectionPanel(), BoxLayout.X_AXIS));
			connectionPanel.add(getConnectionsButton(), null);
			connectionPanel.add(connectionRoomLabel, null);
		}
		return connectionPanel;
	} 
"
11298083,toString,returns a string of the serialised binding operation pointer part,returns a string representation of the operation,"

 public String toString() {
        String operationString = (operation.getPrefix() != null && !operation.getPrefix().equals(emptyString) ? operation.getPrefix() + """":"""" + operation.getLocalPart() : operation.getLocalPart());
        return """"wsdl.bindingOperation("""" + binding + """"/"""" + operationString + """")"""";
    } 
"
16958722,indexToLetter,converts the given integer into a character for the coordinate system,returns the index of the given letter,"

 public String indexToLetter(int index) {
		if (index == 0)
			return """"a"""";
		else if (index == 1)
			return """"b"""";
		else if (index == 2)
			return """"c"""";
		else if (index == 3)
			return """"d"""";
		else if (index == 4)
			return """"e"""";
		else if (index == 5)
			return """"f"""";
		else if (index == 6)
			return """"g"""";
		else if (index == 7)
			return """"h"""";
		else if (index == 8)
			return """"i"""";
		else if (index == 9)
			return """"j"""";
		else
			return null;
	} 
"
33793341,testDeleteFornecedor,test of delete fornecedor method of class fornecedor dao,test of delete <UNK> method of class <UNK>,"

 public void testDeleteFornecedor() {
        /*System.out.println(""""deleteFornecedor"""");
        Integer id = 151;
        FornecedorDAO instance = new FornecedorDAO();
        instance.deleteFornecedor(id);
        // TODO review the generated test code and remove the default call to fail.
        assertNull(instance.getFornecedor(id));*/
    } 
"
29852582,genSql,generate the code in pure java form,generates a sql statement for the given type,"

 public void genSql() throws PositionedError {
    try {
      SqlcPrettyPrinter         spp;

      spp = new SqlcPrettyPrinter(ref.getFile());
      spp.printCUnit(elems);
      spp.close();
    } catch (IOException ioe) {
      ioe.printStackTrace();
      System.err.println(""""cannot write: """" + ref.getFile());
    }
  } 
"
29854794,genIdents,generates the names of this type,generates a <UNK> statement,"

 public JExpression genIdents() {
    TokenReference	ref = getTokenReference();
    JExpression[]	init = new JExpression[codes.length];

    for (int i = 0; i < codes.length; i++) {
      init[i] = new JStringLiteral(ref, codes[i].getIdent());
    }
    return VKUtils.createArray(ref, CStdType.String, init);
  } 
"
29859244,split,each token of the line is an element of the list,splits a line into a list of strings,"

 private List split(String line) {
    List                result;

    if (line == null) {
      result = new ArrayList();
    } else {
      StringTokenizer     tok;

      tok = new StringTokenizer(line, """","""");
      result = new ArrayList(tok.countTokens());

      while(tok.hasMoreTokens()) {
        result.add(tok.nextToken());
      }
    }

    return result;
  } 
"
33718481,testGetEmail,test of get email method of class tools,test of get email method of class org,"

 public void testGetEmail() {
        System.out.println(""""getEmail"""");
        

        
        String expResult = """""""";
        String result = instance.getEmail();
        assertEquals(expResult, result);
        
        // TODO review the generated test code and remove the default call to fail.
      //  fail(""""The test case is a prototype."""");
    } 
"
33719114,testSetEvtID,test of set evt id method of class com,test of set event id method of class email <UNK>,"

 public void testSetEvtID() {
        System.out.println(""""setEvtID"""");
        
        String evtID = """""""";
        Email_DBImpl instance = new Email_DBImpl();
        
        instance.setEvtID(evtID);
        
        // TODO review the generated test code and remove the default call to fail.
        fail(""""The test case is a prototype."""");
    } 
"
33719117,testSetChkEvtID,test of set chk evt id method of class com,test of set chk evt id method of class <UNK>,"

 public void testSetChkEvtID() {
        System.out.println(""""setChkEvtID"""");
        
        String ChkEvtID = """""""";
        Email_DBImpl instance = new Email_DBImpl();
        
        instance.setChkEvtID(ChkEvtID);
        
        // TODO review the generated test code and remove the default call to fail.
        fail(""""The test case is a prototype."""");
    } 
"
33719118,testGetEvtIDs,test of get evt ids method of class com,test of get event ids method of class email <UNK>,"

 public void testGetEvtIDs() {
        System.out.println(""""getEvtIDs"""");
        
        Email_DBImpl instance = new Email_DBImpl();
        
        String[] expResult = null;
        String[] result = instance.getEvtIDs();
        assertEquals(expResult, result);
        
        // TODO review the generated test code and remove the default call to fail.
        fail(""""The test case is a prototype."""");
    } 
"
33719607,testGetClassification,test of get classification method of class com,test of get classification method of class <UNK>,"

 public void testGetClassification() {
        System.out.println(""""getClassification"""");
        
        SystemClient_DBImpl instance = new SystemClient_DBImpl();
        
        Set expResult = null;
        Set result = instance.getClassification();
        assertEquals(expResult, result);
        
        // TODO review the generated test code and remove the default call to fail.
        fail(""""The test case is a prototype."""");
    } 
"
33719869,testSetWelcomeMsg,test of set welcome msg method of class com,test of set welcome msg method of class <UNK>,"

 public void testSetWelcomeMsg() {
        System.out.println(""""setWelcomeMsg"""");
        
        String welcomeMsg = """""""";
        SystemClient_DBImpl instance = new SystemClient_DBImpl();
        
        instance.setWelcomeMsg(welcomeMsg);
        
        // TODO review the generated test code and remove the default call to fail.
        fail(""""The test case is a prototype."""");
    } 
"
18418213,showLatestPlan,loads the latest plan in order to show it,show the latest plan of the current <UNK> plan,"

 public String showLatestPlan() {
		
		// clear previous protocols
        mCurrPlanProt = null;
		
	
		try {
			PatientController han = new PatientController(mCurrPatient);
			NutPlan plan = han.getLatestNutritionPlan();
			NutritionController controller = NutritionController.editPlan(plan);

			mCurrPlanProt = WebPlanProtocol.createPlan(controller, plan, mCurrPatient);
			return """"success"""";

		} catch (Exception e) {
			e.printStackTrace();
		}
		return """"failure"""";
	} 
"
18420500,getUnitCombo,this method initializes m unit combo,this method initializes unit combo,"

 private JComboBox getUnitCombo() {
		if (m_UnitCombo == null) {
			m_UnitCombo = new JComboBox();
			m_UnitCombo.setBounds(87, 83, 125, 22);
			m_UnitCombo.setModel(getUnitComboModel());
            if (m_FreePara.getUnit() != null) {
                m_UnitCombo.setSelectedItem(m_FreePara.getUnit());
            }
		}
		return m_UnitCombo;
	} 
"
18421665,searchRecipe,this function searches a recipe starting with the recipe passed as parameter,this method is called when the voter loses the <UNK>,"

 private Recipe searchRecipe (Recipe re) {
		
		Recipe recipe;
		
		for (IngredientAmount iam : re.getIngredients()) {
			if (iam.getFood() instanceof Recipe) {
				if ((Recipe)iam.getFood() == m_ActiveRecipe) {
					return re;
				} else {
					recipe = searchRecipe ((Recipe) iam.getFood());
					
					if (recipe != null) {
						return recipe;
					}
				}
			}			
		}		

		return null;
	} 
"
40936756,selectBracketingEntries,select the entries bracketing a specified date,select a <UNK> entries,"

 protected boolean selectBracketingEntries(final AbsoluteDate date) {
        try {
            // select the bracketing elements
            next     = (TimeStampedEntry) (eop.tailSet(date).first());
            previous = (TimeStampedEntry) (eop.headSet(next).last());
            return true;
        } catch (NoSuchElementException nsee) {
            previous = null;
            next     = null;
            return false;
        }
    } 
"
40865212,getBackCommand2,returns an initiliazed instance of back command2 component,returns an initiliazed instance of back command2 component,"

 public Command getBackCommand2() {
        if (backCommand2 == null) {//GEN-END:|233-getter|0|233-preInit
            // write pre-init user code here
            backCommand2 = new Command(""""OK"""", Command.BACK, 0);//GEN-LINE:|233-getter|1|233-postInit
            // write post-init user code here
        }//GEN-BEGIN:|233-getter|2|
        return backCommand2;
    } 
"
40865383,getBackCommand12,returns an initiliazed instance of back command12 component,returns an initiliazed instance of back <UNK> component,"

 public Command getBackCommand12() {
        if (backCommand12 == null) {//GEN-END:|264-getter|0|264-preInit
            // write pre-init user code here
            backCommand12 = new Command(""""OK"""", Command.BACK, 0);//GEN-LINE:|264-getter|1|264-postInit
            // write post-init user code here
        }//GEN-BEGIN:|264-getter|2|
        return backCommand12;
    } 
"
40875567,getBackCommand25,returns an initiliazed instance of back command25 component,returns an initiliazed instance of back <UNK> component,"

 public Command getBackCommand25() {
        if (backCommand25 == null) {//GEN-END:|618-getter|0|618-preInit
            // write pre-init user code here
            backCommand25 = new Command(""""Back"""", Command.BACK, 0);//GEN-LINE:|618-getter|1|618-postInit
            // write post-init user code here
        }//GEN-BEGIN:|618-getter|2|
        return backCommand25;
    } 
"
40879350,getOkCommand18,returns an initiliazed instance of ok command18 component,returns an initiliazed instance of ok <UNK> component,"

 public Command getOkCommand18() {
        if (okCommand18 == null) {//GEN-END:|728-getter|0|728-preInit
            // write pre-init user code here
            okCommand18 = new Command(""""LIQUIDEZ"""", Command.OK, 0);//GEN-LINE:|728-getter|1|728-postInit
            // write post-init user code here
        }//GEN-BEGIN:|728-getter|2|
        return okCommand18;
    } 
"
36356719,setEndpointAddress,set the endpoint address for the specified port name,set the endpoint address for the specified port name,"

 public void setEndpointAddress(java.lang.String portName, java.lang.String address) throws javax.xml.rpc.ServiceException {
        
if (""""ProductInformationSOAP"""".equals(portName)) {
            setProductInformationSOAPEndpointAddress(address);
        }
        else 
{ // Unknown Port Name
            throw new javax.xml.rpc.ServiceException("""" Cannot set Endpoint Address for Unknown Port"""" + portName);
        }
    } 
"
27907979,atomToExpression,returns the expression for inserting or selecting the atom,converts an atom to an expression,"

 private String atomToExpression(Atom atom, String name) {

		String expr = name + """" = """";
		
		if (atom instanceof BooleanAtom) {
			BooleanAtom booleanAtom = (BooleanAtom) atom;
			try {
				if(booleanAtom.getBooleanValue())
					expr += """"'T'"""";
				else
					expr += """"'F'"""";
			} catch (InvalidStateException e) {
				throw new Error(""""Thing in invalid boolean state"""");
			}
		}
			
		else if (atom instanceof TextAtom)
			expr += """"'"""" + atom.getValue() + """"'"""";
		else
			expr += atom.getValue();

		return expr;
	} 
"
19280843,getInstitutions,this method returns a collection or institution bean objects,returns a collection of <UNK>,"

 public Collection getInstitutions() {
        try {
            if (iInstitutions == null) {
                refreshInstitutions();
                logger.debug(""""Institutions were null while getting them. Attempting to refresh."""");
            }
            return iInstitutions;
        }
        catch (Exception e) {
            logger.warn(e.getMessage(), e);
            return Collections.EMPTY_LIST;
        }
    } 
"
19282261,countQuery,performs a query and returns the count of objects the criteria specified,counts the number of queries in the database,"

 protected int countQuery(final Query query) throws PersistenceException {
        if (query != null)
        {
            if (pride2Broker != null){
                return pride2Broker.getCount(query);
            }
            else {
                throw new PersistenceException(""""Query called on uninitialized PersistenceBroker"""", null);
            }
        }
        else {
            throw new PersistenceException(""""No query specified!"""", null);
        }
    } 
"
50026101,getRemoteObject,return a reference to a remote object,get the remote object,"

 public DBusInterface getRemoteObject(String objectpath) throws DBusException {
    if (null == objectpath) { throw new DBusException(_(""""Invalid object path: null"""")); }

    if (!objectpath.matches(OBJECT_REGEX) || (objectpath.length() > MAX_NAME_LENGTH)) { throw new DBusException(
        _(""""Invalid object path: """") + objectpath); }

    return dynamicProxy(objectpath);
  } 
"
43040209,addErrors,adds the given error for the given property,adds a new error to the list of errors,"

 public void addErrors(String el, IErrorDescription... error) {
        final IErrorDescription[] msg = errors.get(el);
        // we expect that the main scenario is to add only once errors per property...
        errors.put(el, msg == null ? error : merge(msg, error));
    } 
"
43040436,init,initializes the class,initializes the <UNK>,"

 private void init() throws CoreException {
        final String name = getClassName();
        final IPackageFragment pkg = getPackage();
        final ICompilationUnit unit = pkg.createCompilationUnit(name + """".java"""", """""""", true, null);
        setUp(unit);
        createMainType(PUBLIC_KEYWORD, pkg.getElementName(), getClassName());
    } 
"
34604973,deleteCascade,will delete algorithm and also references to it cascadely in tables,deletes all the rows in the database,"

 public void deleteCascade(VyhladavaciAlgoritmus algorithm) {
		//searcheds
		getHibernateTemplate().bulkUpdate(
		    	""""DELETE Searched WHERE algorithm = ?"""",
		    	new Object[] { algorithm } );
		//plans
		getHibernateTemplate().bulkUpdate(
		    	""""DELETE SearchPlan WHERE algorithm = ?"""",
		    	new Object[] { algorithm } );
		//prefs
		getHibernateTemplate().bulkUpdate(
		    	""""DELETE SearchPrefs WHERE algorithm = ?"""",
		    	new Object[] { algorithm } );
		//categories
		getHibernateTemplate().bulkUpdate(
		    	""""DELETE SearchCategory WHERE algorithm = ?"""",
		    	new Object[] { algorithm } );
		delete(algorithm);
	} 
"
10222579,equals,indicates whether some other object is equal to this one,compares this selector with another object,"

 public boolean equals(Object obj) {
        if (obj == null || (obj.getClass() != getClass())) {
            return false;
        }
        CSSConditionalSelectorImpl s = (CSSConditionalSelectorImpl)obj;
        return (s.simpleSelector.equals(simpleSelector) &&
                s.condition.equals(condition));
    } 
"
4453291,exit,gracefully shutdown the application,exits the application,"

 public void exit(EventObject event) {
	for (ExitListener listener : exitListeners) {
	    if (!listener.canExit(event)) {
		return;
	    }
	}
	try {
	    for (ExitListener listener : exitListeners) {
		try {
		    listener.willExit(event);
		}
		catch (Exception e) { 
		    logger.log(Level.WARNING, """"ExitListener.willExit() failed"""", e);
		}
	    }
	    shutdown();
	}
	catch (Exception e) { 
	    logger.log(Level.WARNING, """"unexpected error in Application.shutdown()"""", e);
	}
	finally {
            end();
	}
    } 
"
39233866,testInvoke,test if we can invoke a given service,test the invoke method of the servlet,"

 public void testInvoke() throws Exception {
        transport.setRemoteService(""""TravelProcess"""");

        call.setOperation(""""initiate"""");
        call.addParameter(""""x"""", XMLType.XSD_STRING, ParameterMode.IN);
        call.setReturnType(XMLType.XSD_STRING);

        String result = (String) call.invoke(new Object[] { """"anything"""" });

        assertEquals(DUMMY_RESULT, result);
    } 
"
26412118,connectionErrorOccurred,responds to an error event,handle an error event,"

 public void connectionErrorOccurred(ConnectionEvent event) {
        logger.warn(""""Received Connection Error event from a conection in pool """" + info.getName());

        if (info.isRemoveOnExceptions()) {
            checkIn(event.getSource(), true);
            logger.warn(""""removeOnExceptions == true, closed connection"""");
        }
    } 
"
13482891,visitRetStmt,make sure that all of targets of the tt ret tt are valid,visits a code ret code statement,"

 public void visitRetStmt(RetStmt stmt) {
        Set targets = new LinkedHashSet();

        Iterator iter = stmt.sub().paths().iterator();

        while (iter.hasNext()) {
            Block[] path = (Block[]) iter.next();
            targets.add(path[1]);
        }

        targets.addAll(stmt.catchTargets());

        verifyTargets(stmt.block(), targets);

        visitNode(stmt);
    } 
"
4280405,getFiles,returns the files represented by the given fileset,returns a list of files that are included in the file,"

 public List getFiles(FileSet fileSet) {
        List files = new ArrayList();
        String[] names = fileSet.getDirectoryScanner(project).getIncludedFiles();

        for (int i = 0; i < names.length; i++) {
            String name = names[i];
            files.add(new File(fileSet.getDir(project), name));
        }

        return files;
    } 
"
38184555,wndPreferences,window preferences menu action,displays the dialog box,"

 public void wndPreferences() {
        log.entering(""""MainWindow"""",""""wndPreferences"""");
        PropertiesDlg propDlg = new PropertiesDlg(this);
        propDlg.setModal(true);
        propDlg.setVisible(true);
        log.exiting(""""MainWindow"""",""""wndPreferences"""");
    } 
"
48861766,addRelativeHeaders,add relative header,add a relative headers to the response,"

 private void addRelativeHeaders(Response response, int timeInSeconds) {
		response.setHeader(CACHE_CONTROL_HEADER, String.format(""""max-age=%d"""", timeInSeconds));
		Calendar expires = Calendar.getInstance();
		expires.add(Calendar.SECOND, timeInSeconds);
		response.setHeader(""""Expires"""", DATE_FORMAT.format(expires));
	} 
"
21359951,show,show dialog with existing or new null contact,show the contact dialog,"

     public void show(Contact contact) {
            logger.fine(""""Showing edit contact dialog for contact: """" + contact);
            this.contact = contact;
            init();
            setLocationRelativeTo(Context.mainFrame);
            optionPane.setValue(JOptionPane.UNINITIALIZED_VALUE);
            panel.setContact(contact);
            panel.prepareForShow();
            setVisible(true);
        } 
"
45147874,clearFieldersFromField,clear all fielders from the field,clears all the <UNK> from the board,"

 public void clearFieldersFromField() {
    // clear all fielders from field
    for (int i = 0; i < boardXDimension; i++) {
      for (int j = 0; j < boardYDimension; j++) {
        for (int a = 0; a < boardZDimension; a++) {
          cricketFieldPositions[i][j][a] = 0;
        }
      }
    }
  } 
"
45888514,openCursor,opens cursor with custom selection,opens a cursor with the given source and returns the result,"

 public Cursor openCursor(Context context, String selection, String[] selectionArgs) {
		if(mSourcesUri==null) {
			throw new NullPointerException(""""Sources uri not set."""");
		}
		return context.getContentResolver().query(mSourcesUri, mProjection, selection, selectionArgs, Sources.SourcesTable.NAME);
	} 
"
45891169,removeView,removes a small view from the scenario list,removes the view from the view,"

 public void removeView(StateViewSmall view) {
		view.setVisible(false);
		// remove from scenario
		int removedPosition = indexOfView(view);
		mScenarioPanel.remove(removedPosition);
		// take care of the big (detailed) view
		if (mCurrentSmallView != null && mCurrentSmallView.equals(view)) {
			mCurrentBigView.setVisible(false);
			mCurrentBigView = null;
			mCurrentSmallView = null;
		}
		// compute the new number of pixels per scenario position
		mTimeBar.scaleNumberOfPixelsPerPosition();
		refresh();
	} 
"
31696447,testNegativeParseCases,unit test 1 negative parse tests to make sure the parser detects,test that the parser correctly accepts a negative parse,"

 public void  testNegativeParseCases() {
    verbose(""""--->Negative parse tests  START"""");
    for (int i = 0; i < negativeParseTests.length; i++) {
      parseFilter(negativeParseTests[i], false);
    }
    
    // 
    // This used to fail until the parser was rewritten with the stack
    // stuff so that it can clean up partially parsed expression trees.
    checkDelete();

  } 
"
22618655,getGlobalElements,gets the global elements attribute of the definition miner object,gets the global elements of the document,"

 private void getGlobalElements(Document doc, File file) {
		if (doc == null) {
			return;
		}
		List list = doc.selectNodes(""""/xsd:schema/xsd:element"""");
		for (Iterator iter = list.iterator(); iter.hasNext(); ) {
			Element element = (Element) iter.next();
			String name = element.attributeValue(""""name"""");
			GlobalElement g = new GlobalElement(element, file);
			// System.out.println (g.toString());
			try {
				globalDefMap.setValue(name, g);
			}  catch (Exception e) {
				prtln (e.getMessage());
			}
		}
	} 
"
22620483,getLabelText,removes namespace prefix from label text,returns the label text for the given xpath expression,"

 public String getLabelText(String xpath, String siblingPath, String indexId) {
		if (siblingPath != null && indexId != null) {
			String nodeName =
				NamespaceRegistry.stripNamespacePrefix(XPathUtils.getNodeName(siblingPath));
			return (nodeName + """" ${"""" + indexId + """"+1}"""");
		}
		else {
			String nodeName =
				NamespaceRegistry.stripNamespacePrefix(XPathUtils.getNodeName(normalizedXPath));
			return nodeName;
		}
	} 
"
22622479,getStatusFlagFields,gets the status flag input fields from the input manager,gets the status of the given list,"

 private List getStatusFlagFields() {
		List list = new ArrayList();
		String statusFlagPath = """"/collectionConfigRecord/statusFlags/statusFlag/status"""";
		for (Iterator i = im.getInputFields().iterator(); i.hasNext(); ) {
			InputField field = (InputField) i.next();
			// prtln (field.toString());
			if (field.getNormalizedXPath().startsWith(statusFlagPath)) {
				list.add(field);
			}
		}
		return list;
	} 
"
22624602,asMap,for use in json emulate part of people db 1,returns a map of all the fields in the map,"

 	public Map asMap() {
			Map map = new HashMap();
			// map.put (""""org_id"""", org_id);
			map.put(""""startDate"""", start_date);
			map.put(""""endDate"""", end_date);
			if (this.organization != null)
				map.put(""""organization"""", this.organization.acronym);
			map.put(""""type"""", (this.isVisitor() ? """"Visitor"""" : """"Employee""""));
			// return new JSONObject (map);
			return map;
		} 
"
