,fid,name,ref,callcon,function
140,47479282,getAllSourceRoots,returns all of the source roots specified in the source bundle providing, returns the source roots of the plugin name ,"

public Set getAllSourceRoots( String pluginName, Version pluginVersion ) {
    Set pluginSourceRoots = new HashSet();
    ManifestElement[] manifestElements = getSourceEntries( pluginName, pluginVersion );

    if ( manifestElements != null ) {
        for ( int j = 0; j < manifestElements.length; j++ ) {
            ManifestElement currentElement = manifestElements[ j ];
            addSourceRoots( currentElement.getDirective( ""roots"" ), pluginSourceRoots ); //$NON-NLS-1$
        }
    }
    return pluginSourceRoots;
} 
"
6,26412118,connectionErrorOccurred,responds to an error event, notification that a connection error occured ,"

public void connectionErrorOccurred( ConnectionEvent event ) {
    logger.warn( ""Received Connection Error event from a conection in pool "" + info.getName() );

    if ( info.isRemoveOnExceptions() ) {
        checkIn( event.getSource(), true );
        logger.warn( ""removeOnExceptions == true, closed connection"" );
    }
} 
"
13,29854794,genIdents,generates the names of this type, generate a evaluation sequence ,"

public JExpression genIdents() {
    TokenReference ref = getTokenReference();
    Jexpression[] init = new JExpression[ codes.length ];

    for ( int i = 0; i < codes.length; i++ ) {
        init[ i ] = new JStringLiteral( ref, codes[ i ].getIdent() );
    }
    return VKUtils.createArray( ref, CStdType.String, init );
} 
"
79,16958722,indexToLetter,converts the given integer into a character for the coordinate system, returns the index of the given letter if the index is valid,"

public String indexToLetter( int index ) {
    if ( index == 0 )
        return ""a"";
    else if ( index == 1 )
        return ""b"";
    else if ( index == 2 )
        return ""c"";
    else if ( index == 3 )
        return ""d"";
    else if ( index == 4 )
        return ""e"";
    else if ( index == 5 )
        return ""f"";
    else if ( index == 6 )
        return ""g"";
    else if ( index == 7 )
        return ""h"";
    else if ( index == 8 )
        return ""i"";
    else if ( index == 9 )
        return ""j"";
    else
        return null;
} 
"
156,43303607,iconify,iconify the given frame, iconifies the frame location of the frame ,"

public void iconify( final Frame frame ) {
    Point loc = getIconifyLocation( frame );

    if ( loc != null ) {
        mouseMove( frame, loc.x, loc.y );
    }
    invokeLater( frame, new Runnable() {
        public void run() {
            frame.setState( Frame.ICONIFIED );
        }
    });
} 
"
17,18251847,addDbArgs,adds jailer cli arguments for db connection, adds a new database command to the database ,"

public void addDbArgs( List<String> args ) {
    args.add( currentConnection.driverClass );
    args.add( currentConnection.url );
    args.add( currentConnection.user );
    args.add( currentConnection.password );

    if ( currentConnection.jar1.trim().length() > 0 ) {
        args.add( ""-jdbcjar"" );
        args.add( currentConnection.jar1.trim() );
    }
    if ( currentConnection.jar2.trim().length() > 0 ) {
        args.add( ""-jdbcjar2"" );
        args.add( currentConnection.jar2.trim() );
    }
} 
"
21,3457090,createNewServerProcess,create a new socket process for a new connection, creates a new server process on the server ,"

protected void createNewServerProcess( Socket socket ){
    logger.info( ""Received connection on port "" + getPort() + "" from ["" + socket.getInetAddress() + "":"" + socket.getPort() + ""]."" );
		
    Thread t = new Thread( getNewServerProcess( socket ));
    t.start();
    getServerProcesses().add( t );
    new Thread( new Monitor( t )).start();
} 
"
103,40879350,getOkCommand18,returns an initiliazed instance of ok command18 component, returns an initiliazed instance of ok command18 component ,"

public Command getOkCommand18() {
    if ( okCommand18 == null ) {//GEN-END: | 728-getter | 0 | 728-preInit
        // write pre-init user code here
        okCommand18 = new Command( ""LIQUIDEZ"", Command.OK, 0 );//GEN-LINE: | 728-getter | 1 | 728-postInit
        // write post-init user code here
    }//GEN-BEGIN: | 728-getter | 2 |
    return okCommand18;
} 
"
76,29859244,split,each token of the line is an element of the list, split a line to the current list of characters ,"

private List split( String line ) {
    List result;

    if ( line == null ) {
        result = new ArrayList();
    } else {
        StringTokenizer tok;
        tok = new StringTokenizer( line, "","" );
        result = new ArrayList( tok.countTokens() );

        while( tok.hasMoreTokens() ) {
            result.add( tok.nextToken() );
        }
    }
    return result;
} 
"
89,18420500,getUnitCombo,this method initializes m unit combo, this method initializes unit combo ,"

private JComboBox getUnitCombo() {
    if ( m_UnitCombo == null ) {
        m_UnitCombo = new JComboBox();
        m_UnitCombo.setBounds( 87, 83, 125, 22 );
        m_UnitCombo.setModel( getUnitComboModel() );
    }
    if ( m_FreePara.getUnit() != null ) {
        m_UnitCombo.setSelectedItem( m_FreePara.getUnit() );
    }
    return m_UnitCombo;
} 
"
36,40099556,removeSelection,removes the given entity from the basket, removes the given entity from the list of selected entity ,"

public void removeSelection( IEntity selection ) {
    // Assertions.
    if ( selection == null ) {
        String msg = ""Argument 'selection' cannot be null."";
        throw new IllegalArgumentException( msg );
    }
        
    entitySel.remove( selection.getEntityId() );
    if( selection.getType().equals( EntityType.MEMBER )){          
        memberCount--;
    } else{
        groupCount--;
    }
        
} 
"
120,18929060,checkDescendantM,return true if member 2, checks if a member is <UNK> if possible ,"

public boolean checkDescendantM( Member aMember, Member dMember ) {
    mondrian.olap.Member monMember = (( MondrianMember ) aMember ).getMonMember();
    mondrian.olap.Member monDesc = (( MondrianMember ) dMember ).getMonMember();

    if ( monDesc.isCalculatedInQuery() || monDesc.equals( monMember ))
        return false;
    return monDesc.isChildOrEqualTo( monMember );
} 
"
84,40865383,getBackCommand12,returns an initiliazed instance of back command12 component, returns an initiliazed instance of back command12 component ,"

public Command getBackCommand12() {
    if ( backCommand12 == null ) {//GEN-END:|264-getter|0|264-preInit
        // write pre-init user code here
        backCommand12 = new Command( ""OK"", Command.BACK, 0 );//GEN-LINE: | 264-getter | 1 | 264-postInit
        // write post-init user code here
    }//GEN-BEGIN: | 264-getter | 2 |
    return backCommand12;
} 
"
153,11759898,markStart,marks the start of the interval, mark the given tag ,"

public void markStart( Object tag ) {
    synchronized ( pair2startTimeMap ) {
        pair2startTimeMap.put( tag, clock.getCurrentTime() );
        // FIXME it probably makes more sense to run the garbage collection
        // periodically instead of allocating the timer every time
        Timer removalTimer = clock.createNewTimer();
        removalTimer.addTimerListener( new GarbageCollectionTimerListener( tag ));
        removalTimer.schedule( Time.inMilliseconds( maxWait ));
    }
} 
"
43,1736289,resetSchedConflict,this method resets schedule conflict, resets the time conflict in the data store ,"

public void resetSchedConflict() {
    try {
        if ( listData == null || listData.size() == 0 )
            return;
        for ( int i = 0;  i < listData.size();  i++ ) {
            TblAuditor auditor = ( TblAuditor ) listData.get( i );
            auditor.setSchedConflict( false );
        }
    } catch ( Exception ex ) {
        logger.error( ex );
        FacesUtils.addErrorMessage( ex.getMessage() );
    }
} 
"
92,19282261,countQuery,performs a query and returns the count of objects the criteria specified, counts the number of queries in the database ,"

protected int countQuery( final Query query ) throws PersistenceException {
    if ( query != null ){
        if ( pride2Broker != null ){
            return pride2Broker.getCount( query );
        }
        else {
            throw new PersistenceException( ""Query called on uninitialized PersistenceBroker"", null );
        }
    }
    else {
        throw new PersistenceException( ""No query specified!"", null );
    }
} 
"
144,40776207,process,notifies the client that the worker is ready to receive calls to other, process a worker thread ,"

public void process( WorkerIsReadyMessageHandle handle, ServiceManager serviceManager ) {
    WorkerIsReadyProcessorRequestTO to = new WorkerIsReadyProcessorRequestTO();
    ServiceID workerID = serviceManager.getSenderServiceID();
		
    to.setWorkerAddress( workerID.toString() );
    to.setWorkerContainerID( workerID.getContainerID().toString() );	
    OurGridRequestControl.getInstance().execute( to, serviceManager );
} 
"
97,4280405,getFiles,returns the files represented by the given fileset, returns the list of files that have a file set ,"

public List getFiles( FileSet fileSet ) {
    List files = new ArrayList();
    String[] names = fileSet.getDirectoryScanner( project ).getIncludedFiles();

    for ( int i = 0; i < names.length; i++ ) {
        String name = names[ i ];
        files.add( new File( fileSet.getDir( project ), name ));
    }
    return files;
} 
"
123,19344442,loadSystems,load the various systems from the db, loads the existing database ,"

private void loadSystems() {
    int i, num;
    SystemItem dtls;
    systemCombo.removeAllItems();
    systemCombo.addItem( ""<All>"" );

    dbLink = true;
    try {
        systems = copyBookInterface.getSystems();
    } catch ( Exception ex ) {
        if ( message != null ) {
            message.setText( ex.getMessage() );
            message.setCaretPosition( 1 );
        }
        ex.printStackTrace();
        systems = new ArrayList< SystemItem >();
        dbLink = false;
    }
    num = systems.size();

    for ( i = 0; i < num; i++ ) {
        dtls = systems.get( i );
        systemCombo.addItem( dtls.description );
    }
} 
"
131,43040209,addErrors,adds the given error for the given property, adds the errors to the end of the given error ,"

public void addErrors( String el, IErrorDescription... error ) {
    final IErrorDescription[] msg = errors.get( el );
    // we expect that the main scenario is to add only once errors per property...
    errors.put( el, msg == null ? error : merge( msg, error ));
} 
"
59,49121415,createDataset,creates a sample dataset, creates a dataset for the dataset ,"

private XYDataset createDataset( double[] values, String name ) {
    // create dataset 1
    final XYSeries series = new XYSeries( name );
        
    for( int i = 0; i<values.length; i++ ){
        series.add( i, values[ i ] );
    }  
    final XYSeriesCollection collection = new XYSeriesCollection();
    collection.addSeries( series );
    return collection;
} 
"
148,27798254,pluginRegistryContains,tests if plugin is in registry, check if the plugin is already contained in the registry ,"

public boolean pluginRegistryContains( String pluginName ) {
    synchronized ( registry ) {
        Iterator iter;

        for ( iter = registry.iterator(); iter.hasNext(); ) {
            PluginRegistryNode node = ( PluginRegistryNode )iter.next();
            if (  node.plugin.getName().equals( pluginName )) return true;
        }
    }
    return false;
} 
"
141,35061399,leaveAll,generate events to leave all components vertex edge or cell, removes the event from the list ,"

private void leaveAll( MouseEvent<? extends EventHandler > event ) {
    LocInfo locInfo = new LocInfo();
    assert( !locInfo.isVertexLocValid() );
    assert( !locInfo.isVerticalEdgeLocValid() );
    assert( !locInfo.isHorizontalEdgeLocValid() );
    assert( !locInfo.isCellLocValid() );
    handleLeaveEvents( locInfo, event );
    lastLocInfo.copy( locInfo );
} 
"
56,40778768,configBalanceRanking,load balances from the ranking file and configure the timer to save, method to <UNK> the balance into the <UNK> file ,"

private void configBalanceRanking( List< IResponseTO > responses, String filePath ) {	
    PeerDAOFactory.getInstance().getAccountingDAO().loadBalancesRanking( filePath );
    long frequence = AccountingConstants.RANKING_SAVING_FREQ;

    ScheduleActionWithFixedDelayResponseTO to = new ScheduleActionWithFixedDelayResponseTO();
    to.setActionName( PeerConstants.SAVE_ACCOUNTING_ACTION_NAME );
    to.setDelay( frequence );
    to.setTimeUnit( TimeUnit.SECONDS );
		
    responses.add( to );
} 
"
7,18912425,tellAgain,forward some message to the participant, sends an <UNK> to the queue ,"

protected void tellAgain( final QName message ) throws RemoteException{
    final AbstractCoordParticipantProxy proxy =
        this.getParticipantProxy();

    if ( State.MESSAGE_CANCEL.equals( message )){
        proxy.cancelOperation( null );
			
    } else if ( State.MESSAGE_COMPENSATE.equals( message )){
        proxy.compensateOperation( null );

    } else if ( State.MESSAGE_CLOSE.equals( message )){
        proxy.closeOperation( null );
			
    } else if ( State.MESSAGE_EXITED.equals( message )){
        proxy.exitedOperation( null );
			
    } else if ( State.MESSAGE_FAULTED.equals( message )){
        proxy.faultedOperation( null );
			
    } else if ( State.MESSAGE_GETSTATUS.equals( message )){
        proxy.getStatusOperation( null );
			
    } else{
        throw new IllegalArgumentException( ""Sorry, cannot tell a participant "" + message );
    }
} 
"
136,27907979,atomToExpression,returns the expression for inserting or selecting the atom, convert atom to a <UNK> atom from the atom ,"

private String atomToExpression( Atom atom, String name ) {
    String expr = name + "" = "";
		
    if ( atom instanceof BooleanAtom ) {
        BooleanAtom booleanAtom = ( BooleanAtom ) atom;
        try {
            if( booleanAtom.getBooleanValue() )
                expr += ""'T'"";
            else
                expr += ""'F'"";
        } catch ( InvalidStateException e ) {
            throw new Error( ""Thing in invalid boolean state"" );
        }
    }		
    else if ( atom instanceof TextAtom )
        expr += ""'"" + atom.getValue() + ""'"";
    else
        expr += atom.getValue();

    return expr;
} 
"
87,22625582,setUrls,sets the value of urls and normalizes them, set the urls ,"

public void setUrls( String[] theUrls ) throws IllegalStateException {
    if ( xmlProcessed )
        throw new IllegalStateException( illegalPostProssingMsg );
		
    if( theUrls != null ) {
        this.urls = new String [ theUrls.length ];
        for( int i = 0; i < theUrls.length; i++ )
            this.urls[ i ] = UrlHelper.normalize( theUrls[ i ]);
    }
    else
        this.urls = urls;
} 
"
